experiment,step,mean_reward,loss,pg_loss,reward_std,kl_penalty,reward_quality_alignment,reward_numerical_accuracy,reward_category_match,reward_format_bonus,diagnostics_grad_norm_lora,diagnostics_grad_norm_multimodal,diagnostics_completion_mean_length
trial_grpo_structure_mlp_sft,5.0,0.13750000335276127,-0.8774295091629029,-0.8774295091629029,0.15602423064410686,0.0,0.13000000000000006,0.0,0.0075,,,,
trial_grpo_structure_mlp_sft,10.0,0.1664047369733453,-0.8644928812980652,-0.8644928812980652,0.18880186788737774,0.0,0.16250000000000006,0.0001547326147556305,0.00375,,,,
trial_grpo_structure_mlp_sft,15.0,0.10000000093132258,-1.0108643293380737,-1.0108643293380737,0.14915397353470325,0.0,0.085,0.0,0.015,,,,
trial_grpo_structure_mlp_sft,20.0,0.16125000398606062,-1.184878170490265,-1.184878170490265,0.1771579645574093,0.0,0.15,0.0,0.01125,,,,
trial_grpo_structure_mlp_sft,25.0,0.12875000294297934,-0.651872968673706,-0.651872968673706,0.1612895630300045,0.0,0.12500000000000003,0.0,0.00375,,,,
trial_grpo_structure_mlp_sft,30.0,0.18029835261404514,0.24524450302124023,0.24524450302124023,0.20216382704675198,0.0,0.15750000000000003,0.00029834817163646224,0.0225,,,,
trial_grpo_structure_mlp_sft,35.0,0.15125000197440386,-0.1593051552772522,-0.1593051552772522,0.17726321890950203,0.0,0.1325,0.0,0.01875,,,,
trial_grpo_structure_mlp_sft,40.0,0.13875000327825546,-0.864764678478241,-0.864764678478241,0.1724819891154766,0.0,0.1275,0.0,0.01125,,,,
trial_grpo_structure_mlp_sft,45.0,0.15875000301748515,-0.6115054726600647,-0.6115054726600647,0.18165687061846256,0.0,0.1475,0.0,0.01125,,,,
trial_grpo_structure_mlp_sft,50.0,0.12065467126667499,-0.3436767578125,-0.3436767578125,0.14451644383370876,0.0,0.11750000000000002,0.003154669851064682,0.0,,,,
trial_grpo_structure_mlp_sft,55.0,0.1525000024586916,-0.9799456536769867,-0.9799456536769867,0.16914347782731057,0.0,0.1375,0.0,0.015,,,,
trial_grpo_structure_mlp_sft,60.0,0.1887500047683716,-1.236120617389679,-1.236120617389679,0.20359075143933297,0.0,0.16250000000000003,0.0,0.026250000000000002,,,,
trial_grpo_structure_mlp_sft,65.0,0.1912500038743019,-1.539137601852417,-1.539137601852417,0.208316095918417,0.0,0.15750000000000003,0.0,0.03375,,,,
trial_grpo_structure_mlp_sft,70.0,0.11375000197440385,-0.5297102570533753,-0.5297102570533753,0.14987604841589927,0.0,0.11000000000000001,0.0,0.00375,,,,
trial_grpo_structure_mlp_sft,75.0,0.16375000402331352,-0.39323168992996216,-0.39323168992996216,0.17282956950366496,0.0,0.16000000000000003,0.0,0.00375,,,,
trial_grpo_structure_mlp_sft,80.0,0.13598128203302623,-0.3369769811630249,-0.3369769811630249,0.19609917514026165,0.0,0.11500000000000003,0.0022312798351049423,0.01875,,,,
trial_grpo_structure_mlp_sft,85.0,0.15375000052154064,-1.010518193244934,-1.010518193244934,0.20927348993718625,0.0,0.12750000000000003,0.0,0.026250000000000002,,,,
trial_grpo_structure_mlp_sft,90.0,0.15875000208616258,-1.0981193423271178,-1.0981193423271178,0.17410371415317058,0.0,0.14000000000000007,0.0,0.01875,,,,
trial_probe_logging_test2,1.0,1.0499999523162842,-0.024999966844916344,-0.024999966844916344,0.0707106962800026,0.0,,,,0.05,0.9999992847442627,0.0,8.0
trial_probe_logging_test2,2.0,1.0499999523162842,0.014641240239143372,0.014641240239143372,0.0707106962800026,0.0,,,,0.05,0.9999998807907104,0.0,20.0
trial_probe_logging_test2,6.0,1.0499999523162842,-0.008146625012159348,-0.008146625012159348,0.0707106962800026,0.0,,,,0.05,0.9999992251396179,0.0,8.0
trial_probe_logging_test2,8.0,0.10000000149011612,0.0,0.0,0.0,0.0,,,,0.1,0.0,0.0,8.0
trial_probe_logging_test2,9.0,0.10000000149011612,0.0,0.0,0.0,0.0,,,,0.1,0.0,0.0,8.0
