experiment,_step,loss,reward_category_match,reward_quality_alignment,reward_std,wandb_id
trial_grpo_structure_mlp_sft,5,-0.8774295091629029,0.0075,0.13000000000000006,0.15602423064410686,rw0qdrxn
trial_grpo_structure_mlp_sft,10,-0.8644928812980652,0.00375,0.16250000000000006,0.18880186788737774,rw0qdrxn
trial_grpo_structure_mlp_sft,15,-1.0108643293380737,0.015,0.085,0.14915397353470325,rw0qdrxn
trial_grpo_structure_mlp_sft,20,-1.184878170490265,0.01125,0.15,0.1771579645574093,rw0qdrxn
trial_grpo_structure_mlp_sft,25,-0.651872968673706,0.00375,0.12500000000000003,0.1612895630300045,rw0qdrxn
trial_grpo_structure_mlp_sft,30,0.24524450302124023,0.0225,0.15750000000000003,0.20216382704675198,rw0qdrxn
trial_grpo_structure_mlp_sft,35,-0.1593051552772522,0.01875,0.1325,0.17726321890950203,rw0qdrxn
trial_grpo_structure_mlp_sft,40,-0.864764678478241,0.01125,0.1275,0.1724819891154766,rw0qdrxn
trial_grpo_structure_mlp_sft,45,-0.6115054726600647,0.01125,0.1475,0.18165687061846256,rw0qdrxn
trial_grpo_structure_mlp_sft,50,-0.3436767578125,0,0.11750000000000002,0.14451644383370876,rw0qdrxn
trial_grpo_structure_mlp_sft,55,-0.9799456536769867,0.015,0.1375,0.16914347782731057,rw0qdrxn
trial_grpo_structure_mlp_sft,60,-1.236120617389679,0.026250000000000002,0.16250000000000003,0.20359075143933297,rw0qdrxn
trial_grpo_structure_mlp_sft,65,-1.539137601852417,0.03375,0.15750000000000003,0.208316095918417,rw0qdrxn
trial_grpo_structure_mlp_sft,70,-0.5297102570533753,0.00375,0.11000000000000001,0.14987604841589927,rw0qdrxn
trial_grpo_structure_mlp_sft,75,-0.39323168992996216,0.00375,0.16000000000000003,0.17282956950366496,rw0qdrxn
trial_grpo_structure_mlp_sft,80,-0.3369769811630249,0.01875,0.11500000000000003,0.19609917514026165,rw0qdrxn
trial_grpo_structure_mlp_sft,85,-1.010518193244934,0.026250000000000002,0.12750000000000003,0.20927348993718625,rw0qdrxn
trial_grpo_structure_mlp_sft,90,-1.0981193423271178,0.01875,0.14000000000000007,0.17410371415317058,rw0qdrxn
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,5,-0.8100527882575989,0.013124999999999998,0.30375,0.13827233836054803,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,10,-0.5225796461105346,0.015,0.32250000000000006,0.13669000267982484,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,15,-1.3505211293697357,0.013125000000000001,0.30500000000000005,0.15862980112433434,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,20,-0.6450339794158936,0.0225,0.31124999999999997,0.18042759597301483,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,25,-1.1367406368255615,0.01875,0.3175,0.15886652544140817,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,30,-1.7071678638458252,0.028124999999999994,0.32625000000000004,0.1715891532599926,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,35,-0.5122054576873779,0.024375,0.32625000000000004,0.16625183522701265,xng73mlc
grpo_structure_mlp_sft_qwen3_8b_it_0310_011220,40,-1.9285621404647828,0.018749999999999996,0.305,0.1639530785381794,xng73mlc
